source_image,data,type,orientation_deg,decoded,output_file
"barcode_1.jpg","01101000","Code 128",-90,True,"barcode_1__01101000.jpg"
"barcode_2.jpg","01100001","Code 128",90,True,"barcode_2__01100001.jpg"
"barcode_3.jpg","01001011","Code 128",0,True,"barcode_3__01001011.jpg"
"barcode_4.jpg","01110011","Code 128",-90,True,"barcode_4__01110011.jpg"
"barcode_5.jpg","01110010","Code 128",90,True,"barcode_5__01110010.jpg"
"barcode_6.jpg","01101000","Code 128",-90,True,"barcode_6__01101000.jpg"
"barcode_7.jpg","01100001","Code 128",90,True,"barcode_7__01100001.jpg"
"barcode_8.jpg","01110011","Code 128",-90,True,"barcode_8__01110011.jpg"
"barcode_9.jpg","01110011","Code 128",-90,True,"barcode_9__01110011.jpg"
"barcode_10.jpg","01110010","Code 128",90,True,"barcode_10__01110010.jpg"
"barcode_11.jpg","01001011","Code 128",0,True,"barcode_11__01001011.jpg"
"barcode_12.jpg","01001011","Code 128",0,True,"barcode_12__01001011.jpg"
"barcode_13.jpg","","",,False,"barcode_13__UNREAD.jpg"
"barcode_14.jpg","01100001","Code 128",90,True,"barcode_14__01100001.jpg"
"barcode_15.jpg","01110011","Code 128",-90,True,"barcode_15__01110011.jpg"
"barcode_16.jpg","","",,False,"barcode_16__UNREAD.jpg"
"barcode_17.jpg","01101000","Code 128",-90,True,"barcode_17__01101000.jpg"
"barcode_18.jpg","01001011","Code 128",0,True,"barcode_18__01001011.jpg"
"barcode_19.jpg","01100001","Code 128",90,True,"barcode_19__01100001.jpg"
"barcode_20.jpg","130-1244","Code 39",0,True,"barcode_20__130-1244.jpg"
"barcode_21.jpg","ABC-1344","Code 39",90,True,"barcode_21__ABC-1344.jpg"
"barcode_22.jpg","130-1344","Code 39",0,True,"barcode_22__130-1344.jpg"
"barcode_23.jpg","12345878","EAN-8",-90,True,"barcode_23__12345878.jpg"
"barcode_24.jpg","12348879","EAN-8",0,True,"barcode_24__12348879.jpg"
"barcode_25.jpg","12349012","EAN-8",180,True,"barcode_25__12349012.jpg"
"barcode_26.jpg","120-122-10","Code 128",90,True,"barcode_26__120-122-10.jpg"
"barcode_27.jpg","12349012","EAN-8",90,True,"barcode_27__12349012.jpg"
"barcode_28.jpg","ABC-1344","Code 39",-90,True,"barcode_28__ABC-1344.jpg"
"barcode_29.jpg","","",,False,"barcode_29__UNREAD.jpg"
"barcode_30.jpg","120-124-20","Code 128",0,True,"barcode_30__120-124-20.jpg"
"barcode_31.jpg","10231272","EAN-8",90,True,"barcode_31__10231272.jpg"
"barcode_32.jpg","01000001","Code 128",-90,True,"barcode_32__01000001.jpg"
"barcode_33.jpg","130-1234","Code 39",90,True,"barcode_33__130-1234.jpg"
"barcode_34.jpg","10645239","EAN-8",0,True,"barcode_34__10645239.jpg"
"barcode_35.jpg","130-1344","Code 39",0,True,"barcode_35__130-1344.jpg"
"barcode_36.jpg","01100100","Code 128",0,True,"barcode_36__01100100.jpg"
"barcode_38.jpg","01101000","Code 128",-90,True,"barcode_38__01101000.jpg"
"barcode_39.jpg","12345878","EAN-8",0,True,"barcode_39__12345878.jpg"
